date,start_et,away,away_pts,home,home_pts,ot,attendance,notes
10/22/19,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,OT,20787,
10/22/19,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,,19068,
10/23/19,7:00p,Chicago Bulls,125,Charlotte Hornets,126,,15424,
10/23/19,7:00p,Detroit Pistons,119,Indiana Pacers,110,,17923,
10/23/19,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,,18846,
10/23/19,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,OT,17732,
10/23/19,7:30p,Memphis Grizzlies,101,Miami Heat,120,,19600,
10/23/19,7:30p,Boston Celtics,93,Philadelphia 76ers,107,,20422,
10/23/19,8:30p,Washington Wizards,100,Dallas Mavericks,108,,19816,
10/23/19,8:30p,New York Knicks,111,San Antonio Spurs,120,,18354,
10/23/19,9:00p,Oklahoma City Thunder,95,Utah Jazz,100,,18306,
10/23/19,10:00p,Sacramento Kings,95,Phoenix Suns,124,,18055,
10/23/19,10:00p,Denver Nuggets,108,Portland Trail Blazers,100,,19991,
10/24/19,7:00p,Atlanta Hawks,117,Detroit Pistons,100,,20338,
10/24/19,8:00p,Milwaukee Bucks,117,Houston Rockets,111,,18055,
10/24/19,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,,18064,
10/25/19,7:00p,Toronto Raptors,106,Boston Celtics,112,,18624,
10/25/19,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,,14879,
10/25/19,7:30p,New York Knicks,109,Brooklyn Nets,113,,17732,
10/25/19,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,,17794,
10/25/19,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,,17027,
10/25/19,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,,18203,
10/25/19,9:00p,Phoenix Suns,107,Denver Nuggets,108,OT,19557,
10/25/19,10:00p,Portland Trail Blazers,122,Sacramento Kings,112,,17583,
10/25/19,10:30p,Utah Jazz,86,Los Angeles Lakers,95,,18997,
10/26/19,5:00p,Miami Heat,131,Milwaukee Bucks,126,OT,17467,
10/26/19,7:00p,Philadelphia 76ers,117,Detroit Pistons,111,,16207,
10/26/19,7:30p,Orlando Magic,99,Atlanta Hawks,103,,17078,
10/26/19,7:30p,Boston Celtics,118,New York Knicks,95,,19812,
10/26/19,8:00p,Toronto Raptors,108,Chicago Bulls,84,,21498,
10/26/19,8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,,19432,
10/26/19,8:00p,New Orleans Pelicans,123,Houston Rockets,126,,18055,
10/26/19,8:30p,Washington Wizards,122,San Antonio Spurs,124,,18354,
10/26/19,9:00p,Sacramento Kings,81,Utah Jazz,113,,18306,
10/26/19,10:00p,Los Angeles Clippers,122,Phoenix Suns,130,,15802,
10/27/19,3:30p,Golden State Warriors,92,Oklahoma City Thunder,120,,18203,
10/27/19,6:00p,Brooklyn Nets,133,Memphis Grizzlies,134,OT,15517,
10/27/19,7:00p,Portland Trail Blazers,121,Dallas Mavericks,119,,19707,
10/27/19,7:00p,Miami Heat,109,Minnesota Timberwolves,116,,17049,
10/27/19,9:30p,Charlotte Hornets,101,Los Angeles Lakers,120,,18997,
10/28/19,7:00p,Chicago Bulls,98,New York Knicks,105,,19812,
10/28/19,7:00p,Indiana Pacers,94,Detroit Pistons,96,,13565,
10/28/19,7:30p,Orlando Magic,95,Toronto Raptors,104,,19800,
10/28/19,7:30p,Philadelphia 76ers,105,Atlanta Hawks,103,,14094,
10/28/19,8:00p,Oklahoma City Thunder,112,Houston Rockets,116,,18055,
10/28/19,8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,129,,17385,
10/28/19,8:00p,Golden State Warriors,134,New Orleans Pelicans,123,,17307,
10/28/19,8:30p,Portland Trail Blazers,110,San Antonio Spurs,113,,18083,
10/28/19,10:00p,Utah Jazz,96,Phoenix Suns,95,,14805,
10/28/19,10:00p,Denver Nuggets,101,Sacramento Kings,94,,15870,
10/28/19,10:30p,Charlotte Hornets,96,Los Angeles Clippers,111,,19068,
10/29/19,7:30p,Atlanta Hawks,97,Miami Heat,112,,19600,
10/29/19,9:00p,Dallas Mavericks,109,Denver Nuggets,106,,16605,
10/29/19,10:30p,Memphis Grizzlies,91,Los Angeles Lakers,120,,18997,
10/30/19,7:00p,Chicago Bulls,111,Cleveland Cavaliers,117,,17595,
10/30/19,7:00p,New York Knicks,83,Orlando Magic,95,,17456,
10/30/19,7:00p,Minnesota Timberwolves,95,Philadelphia 76ers,117,,20204,
10/30/19,7:30p,Milwaukee Bucks,105,Boston Celtics,116,,18624,
10/30/19,7:30p,Indiana Pacers,118,Brooklyn Nets,108,,17083,
10/30/19,7:30p,Detroit Pistons,113,Toronto Raptors,125,,19800,
10/30/19,8:00p,Portland Trail Blazers,102,Oklahoma City Thunder,99,,18203,
10/30/19,8:00p,Houston Rockets,159,Washington Wizards,158,,20476,
10/30/19,10:00p,Charlotte Hornets,118,Sacramento Kings,111,,15416,
10/30/19,10:00p,Los Angeles Clippers,96,Utah Jazz,110,,18306,
10/30/19,10:30p,Phoenix Suns,121,Golden State Warriors,110,,18064,
10/31/19,7:00p,Miami Heat,106,Atlanta Hawks,97,,16539,
10/31/19,9:30p,Denver Nuggets,107,New Orleans Pelicans,122,,16613,
10/31/19,10:30p,San Antonio Spurs,97,Los Angeles Clippers,103,,19068,
11/1/19,7:00p,Houston Rockets,116,Brooklyn Nets,123,,17732,
11/1/19,7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,,16079,
11/1/19,7:00p,Milwaukee Bucks,123,Orlando Magic,91,,15105,
11/1/19,7:30p,New York Knicks,102,Boston Celtics,104,,18624,
11/1/19,8:00p,Detroit Pistons,106,Chicago Bulls,112,,20671,
11/1/19,9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,OT,20358,
11/1/19,10:00p,Utah Jazz,101,Sacramento Kings,102,,16273,
11/1/19,10:30p,San Antonio Spurs,127,Golden State Warriors,110,,18064,
11/2/19,5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,,18203,
11/2/19,7:00p,Brooklyn Nets,109,Detroit Pistons,113,,17222,
11/2/19,7:00p,Denver Nuggets,91,Orlando Magic,87,,17025,
11/2/19,8:00p,Phoenix Suns,114,Memphis Grizzlies,105,,14144,
11/2/19,8:00p,Toronto Raptors,105,Milwaukee Bucks,115,,17637,
11/2/19,8:00p,Minnesota Timberwolves,131,Washington Wizards,109,,15150,
11/2/19,8:30p,Charlotte Hornets,93,Golden State Warriors,87,,18064,
11/2/19,10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,,19669,
11/3/19,5:00p,Chicago Bulls,95,Indiana Pacers,108,,17073,
11/3/19,6:00p,Houston Rockets,100,Miami Heat,129,,19724,
11/3/19,6:00p,Sacramento Kings,113,New York Knicks,92,,19812,
11/3/19,7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,,18610,
11/3/19,7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,,18078,
11/3/19,9:00p,Utah Jazz,94,Los Angeles Clippers,105,,19068,
11/4/19,7:00p,Detroit Pistons,99,Washington Wizards,115,,13052,
11/4/19,7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,,17194,
11/4/19,8:00p,Houston Rockets,107,Memphis Grizzlies,100,,14197,
11/4/19,8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,,16271,
11/4/19,9:00p,Philadelphia 76ers,109,Phoenix Suns,114,,14285,
11/4/19,10:30p,Portland Trail Blazers,118,Golden State Warriors,127,,18064,
11/5/19,7:00p,Indiana Pacers,120,Charlotte Hornets,122,OT,13341,
11/5/19,7:00p,Boston Celtics,119,Cleveland Cavaliers,113,,17709,
11/5/19,7:30p,San Antonio Spurs,100,Atlanta Hawks,108,,14025,
11/5/19,8:00p,Los Angeles Lakers,118,Chicago Bulls,112,,21193,
11/5/19,8:00p,Orlando Magic,94,Oklahoma City Thunder,102,,18203,
11/5/19,9:00p,Miami Heat,89,Denver Nuggets,109,,18010,
11/6/19,7:00p,New York Knicks,102,Detroit Pistons,122,,15463,
11/6/19,7:00p,Washington Wizards,106,Indiana Pacers,121,,16171,
11/6/19,7:30p,Chicago Bulls,113,Atlanta Hawks,93,,15049,
11/6/19,7:30p,Golden State Warriors,112,Houston Rockets,129,,18055,
11/6/19,7:30p,Sacramento Kings,120,Toronto Raptors,124,,19800,
11/6/19,8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,,13503,
11/6/19,8:30p,Orlando Magic,106,Dallas Mavericks,107,,19487,
11/6/19,9:00p,Philadelphia 76ers,104,Utah Jazz,106,,18306,
11/6/19,10:00p,Milwaukee Bucks,129,Los Angeles Clippers,124,,19068,
11/7/19,8:00p,Boston Celtics,108,Charlotte Hornets,87,,18487,
11/7/19,8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,,18354,
11/7/19,9:00p,Miami Heat,124,Phoenix Suns,108,,15498,
11/7/19,10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,,19068,
11/8/19,7:00p,Detroit Pistons,106,Indiana Pacers,112,,15544,
11/8/19,7:00p,Memphis Grizzlies,86,Orlando Magic,118,,17021,
11/8/19,7:00p,Cleveland Cavaliers,113,Washington Wizards,100,,16946,
11/8/19,7:30p,Sacramento Kings,121,Atlanta Hawks,109,,16447,
11/8/19,8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,OT,15647,
11/8/19,8:00p,Toronto Raptors,122,New Orleans Pelicans,104,,16337,
11/8/19,8:30p,New York Knicks,106,Dallas Mavericks,102,,20257,
11/8/19,9:00p,Philadelphia 76ers,97,Denver Nuggets,100,,19520,
11/8/19,9:00p,Milwaukee Bucks,100,Utah Jazz,103,,18306,
11/8/19,10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,,20089,
11/8/19,10:30p,Miami Heat,80,Los Angeles Lakers,95,,18997,
11/9/19,5:00p,Boston Celtics,135,San Antonio Spurs,115,,18354,
11/9/19,7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,,18513,
11/9/19,8:00p,Houston Rockets,117,Chicago Bulls,94,,20482,
11/9/19,8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,,15753,
11/9/19,8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,,18203,
11/10/19,3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,OT,13553,
11/10/19,6:00p,Indiana Pacers,109,Orlando Magic,102,,17118,
11/10/19,6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,,20311,
11/10/19,7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,,18203,
11/10/19,7:30p,Cleveland Cavaliers,108,New York Knicks,87,,19812,
11/10/19,8:00p,Brooklyn Nets,112,Phoenix Suns,138,,17290,
11/10/19,9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,OT,20041,
11/10/19,9:30p,Toronto Raptors,113,Los Angeles Lakers,104,,18997,
11/11/19,7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,,12526,
11/11/19,7:30p,Dallas Mavericks,106,Boston Celtics,116,,18624,
11/11/19,7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,,18627,
11/11/19,8:00p,Houston Rockets,122,New Orleans Pelicans,116,,16695,
11/11/19,10:30p,Utah Jazz,122,Golden State Warriors,108,,18064,
11/11/19,10:30p,Toronto Raptors,88,Los Angeles Clippers,98,,19068,
11/12/19,7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,,15838,
11/12/19,7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,,20294,
11/12/19,7:30p,Detroit Pistons,108,Miami Heat,117,,19600,
11/12/19,8:00p,New York Knicks,102,Chicago Bulls,120,,18668,
11/12/19,9:00p,Atlanta Hawks,125,Denver Nuggets,121,,18327,
11/12/19,9:00p,Los Angeles Lakers,123,Phoenix Suns,115,,18055,
11/12/19,9:00p,Brooklyn Nets,114,Utah Jazz,119,,18306,
11/12/19,10:00p,Portland Trail Blazers,99,Sacramento Kings,107,,16358,
11/13/19,7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,,13155,
11/13/19,7:00p,Philadelphia 76ers,97,Orlando Magic,112,,15113,
11/13/19,7:30p,Washington Wizards,133,Boston Celtics,140,,19156,
11/13/19,7:30p,Los Angeles Clippers,93,Houston Rockets,102,,18055,
11/13/19,8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,,11581,
11/13/19,10:00p,Golden State Warriors,94,Los Angeles Lakers,120,,18997,
11/13/19,10:00p,Toronto Raptors,114,Portland Trail Blazers,106,,19544,
11/14/19,6:00p,Miami Heat,108,Cleveland Cavaliers,97,,17374,
11/14/19,8:00p,Chicago Bulls,115,Milwaukee Bucks,124,,17627,
11/14/19,8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,,17147,
11/14/19,8:00p,Dallas Mavericks,103,New York Knicks,106,,19812,
11/14/19,9:00p,Atlanta Hawks,112,Phoenix Suns,128,,15143,
11/14/19,10:30p,Brooklyn Nets,93,Denver Nuggets,101,,18394,
11/15/19,7:00p,Detroit Pistons,106,Charlotte Hornets,109,,16778,
11/15/19,7:00p,San Antonio Spurs,109,Orlando Magic,111,,16296,
11/15/19,8:00p,Indiana Pacers,102,Houston Rockets,111,,18055,
11/15/19,8:00p,Utah Jazz,106,Memphis Grizzlies,107,,16422,
11/15/19,8:00p,Washington Wizards,137,Minnesota Timberwolves,116,,12716,
11/15/19,8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,OT,18203,
11/15/19,10:30p,Boston Celtics,105,Golden State Warriors,100,,18064,
11/15/19,10:30p,Sacramento Kings,97,Los Angeles Lakers,99,,18997,
11/16/19,6:00p,Brooklyn Nets,117,Chicago Bulls,111,,19148,
11/16/19,7:00p,Milwaukee Bucks,102,Indiana Pacers,83,,17024,
11/16/19,7:30p,Charlotte Hornets,103,New York Knicks,102,,19401,
11/16/19,8:00p,New Orleans Pelicans,94,Miami Heat,109,,19600,
11/16/19,8:00p,Houston Rockets,125,Minnesota Timberwolves,105,,18978,
11/16/19,8:30p,Toronto Raptors,102,Dallas Mavericks,110,,19926,
11/16/19,8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,,18534,
11/16/19,10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,,19068,
11/17/19,3:00p,Philadelphia 76ers,114,Cleveland Cavaliers,95,,19432,
11/17/19,3:30p,Boston Celtics,99,Sacramento Kings,100,,16633,
11/17/19,6:00p,Denver Nuggets,131,Memphis Grizzlies,114,,14227,
11/17/19,6:00p,Washington Wizards,121,Orlando Magic,125,,16344,
11/17/19,7:00p,Golden State Warriors,100,New Orleans Pelicans,108,,16812,
11/17/19,9:30p,Atlanta Hawks,101,Los Angeles Lakers,122,,18997,
11/18/19,7:00p,Cleveland Cavaliers,105,New York Knicks,123,,17097,
11/18/19,7:30p,Indiana Pacers,115,Brooklyn Nets,86,,14140,
11/18/19,7:30p,Charlotte Hornets,96,Toronto Raptors,132,,19800,
11/18/19,8:00p,Milwaukee Bucks,115,Chicago Bulls,101,,17565,
11/18/19,8:00p,Portland Trail Blazers,108,Houston Rockets,132,,18055,
11/18/19,8:30p,San Antonio Spurs,110,Dallas Mavericks,117,,19637,
11/18/19,9:00p,Boston Celtics,99,Phoenix Suns,85,,15193,
11/18/19,9:00p,Minnesota Timberwolves,112,Utah Jazz,102,,18306,
11/18/19,10:30p,Oklahoma City Thunder,88,Los Angeles Clippers,90,,19068,
11/19/19,8:00p,Golden State Warriors,114,Memphis Grizzlies,95,,14511,
11/19/19,8:00p,Portland Trail Blazers,104,New Orleans Pelicans,115,,15021,
11/19/19,10:00p,Phoenix Suns,116,Sacramento Kings,120,,16732,
11/19/19,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,112,,18997,
11/20/19,7:00p,New York Knicks,104,Philadelphia 76ers,109,,20384,
11/20/19,7:00p,San Antonio Spurs,132,Washington Wizards,138,,14579,
11/20/19,7:30p,Milwaukee Bucks,135,Atlanta Hawks,127,,16441,
11/20/19,7:30p,Charlotte Hornets,91,Brooklyn Nets,101,,14011,
11/20/19,7:30p,Golden State Warriors,94,Dallas Mavericks,142,,19569,
11/20/19,7:30p,Cleveland Cavaliers,100,Miami Heat,124,,19600,
11/20/19,7:30p,Orlando Magic,97,Toronto Raptors,113,,19800,
11/20/19,8:00p,Detroit Pistons,89,Chicago Bulls,109,,18119,
11/20/19,8:00p,Utah Jazz,103,Minnesota Timberwolves,95,,13177,
11/20/19,9:00p,Houston Rockets,95,Denver Nuggets,105,,17778,
11/20/19,10:00p,Boston Celtics,104,Los Angeles Clippers,107,OT,19068,
11/21/19,8:00p,Portland Trail Blazers,129,Milwaukee Bucks,137,,17385,
11/21/19,10:30p,New Orleans Pelicans,124,Phoenix Suns,121,,13903,
11/22/19,7:00p,Atlanta Hawks,103,Detroit Pistons,128,,15399,
11/22/19,7:00p,Charlotte Hornets,118,Washington Wizards,125,,15053,
11/22/19,7:30p,Sacramento Kings,97,Brooklyn Nets,116,,15619,
11/22/19,8:00p,Miami Heat,116,Chicago Bulls,108,,18953,
11/22/19,8:00p,Los Angeles Lakers,130,Oklahoma City Thunder,127,,18203,
11/22/19,8:00p,San Antonio Spurs,104,Philadelphia 76ers,115,,20927,
11/22/19,8:30p,Cleveland Cavaliers,101,Dallas Mavericks,143,,19639,
11/22/19,9:00p,Boston Celtics,92,Denver Nuggets,96,,19520,
11/22/19,9:00p,Golden State Warriors,109,Utah Jazz,113,,18306,
11/22/19,10:30p,Houston Rockets,119,Los Angeles Clippers,122,,19068,
11/23/19,5:00p,Phoenix Suns,100,Minnesota Timberwolves,98,,17362,
11/23/19,7:00p,Chicago Bulls,116,Charlotte Hornets,115,,17891,
11/23/19,7:00p,Orlando Magic,106,Indiana Pacers,111,,16446,
11/23/19,7:30p,Toronto Raptors,119,Atlanta Hawks,116,,16931,
11/23/19,7:30p,San Antonio Spurs,111,New York Knicks,104,,19320,
11/23/19,7:30p,Miami Heat,86,Philadelphia 76ers,113,,21017,
11/23/19,8:00p,Portland Trail Blazers,104,Cleveland Cavaliers,110,,19432,
11/23/19,8:00p,Los Angeles Lakers,109,Memphis Grizzlies,108,,17794,
11/23/19,8:30p,Detroit Pistons,90,Milwaukee Bucks,104,,17585,
11/23/19,9:00p,New Orleans Pelicans,120,Utah Jazz,128,,18306,
11/24/19,3:30p,Dallas Mavericks,137,Houston Rockets,123,,18055,
11/24/19,6:00p,Brooklyn Nets,103,New York Knicks,101,,18770,
11/24/19,6:00p,Sacramento Kings,113,Washington Wizards,106,,15885,
11/24/19,8:00p,Phoenix Suns,104,Denver Nuggets,116,,19520,
11/24/19,9:00p,New Orleans Pelicans,109,Los Angeles Clippers,134,,19068,
11/25/19,7:00p,Brooklyn Nets,108,Cleveland Cavaliers,106,,17143,
11/25/19,7:00p,Orlando Magic,88,Detroit Pistons,103,,14695,
11/25/19,7:00p,Memphis Grizzlies,114,Indiana Pacers,126,,15141,
11/25/19,7:30p,Minnesota Timberwolves,125,Atlanta Hawks,113,,16218,
11/25/19,7:30p,Sacramento Kings,102,Boston Celtics,103,,19156,
11/25/19,7:30p,Charlotte Hornets,100,Miami Heat,117,,19600,
11/25/19,7:30p,Philadelphia 76ers,96,Toronto Raptors,101,,19800,
11/25/19,8:00p,Portland Trail Blazers,117,Chicago Bulls,94,,18776,
11/25/19,8:00p,Utah Jazz,118,Milwaukee Bucks,122,,17385,
11/25/19,8:30p,Los Angeles Lakers,114,San Antonio Spurs,104,,18498,
11/25/19,10:30p,Oklahoma City Thunder,100,Golden State Warriors,97,,18064,
11/26/19,8:30p,Los Angeles Clippers,114,Dallas Mavericks,99,,20407,
11/26/19,9:00p,Washington Wizards,104,Denver Nuggets,117,,18673,
11/27/19,7:00p,Brooklyn Nets,110,Boston Celtics,121,,19156,
11/27/19,7:00p,Detroit Pistons,101,Charlotte Hornets,102,,15535,
11/27/19,7:00p,Orlando Magic,116,Cleveland Cavaliers,104,,17712,
11/27/19,7:00p,Utah Jazz,102,Indiana Pacers,121,,17027,
11/27/19,7:00p,Sacramento Kings,91,Philadelphia 76ers,97,,20592,
11/27/19,7:30p,New York Knicks,98,Toronto Raptors,126,,19800,
11/27/19,8:00p,Miami Heat,108,Houston Rockets,117,,18055,
11/27/19,8:00p,Los Angeles Clippers,121,Memphis Grizzlies,119,,16721,
11/27/19,8:00p,Atlanta Hawks,102,Milwaukee Bucks,111,,17525,
11/27/19,8:30p,Minnesota Timberwolves,113,San Antonio Spurs,101,,18354,
11/27/19,9:00p,Washington Wizards,140,Phoenix Suns,132,,14123,
11/27/19,9:30p,Los Angeles Lakers,114,New Orleans Pelicans,110,,18626,
11/27/19,10:00p,Oklahoma City Thunder,119,Portland Trail Blazers,136,,19870,
11/27/19,10:30p,Chicago Bulls,90,Golden State Warriors,104,,18064,
11/29/19,12:00p,Boston Celtics,107,Brooklyn Nets,112,,17732,
11/29/19,7:00p,Charlotte Hornets,110,Detroit Pistons,107,,15006,
11/29/19,7:00p,Toronto Raptors,90,Orlando Magic,83,,17014,
11/29/19,7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,110,,19432,
11/29/19,7:30p,Philadelphia 76ers,101,New York Knicks,95,,18109,
11/29/19,8:00p,Atlanta Hawks,104,Indiana Pacers,105,OT,15827,
11/29/19,8:00p,Utah Jazz,103,Memphis Grizzlies,94,,16605,
11/29/19,8:00p,Golden State Warriors,105,Miami Heat,122,,19600,
11/29/19,8:00p,New Orleans Pelicans,104,Oklahoma City Thunder,109,,18203,
11/29/19,8:30p,Los Angeles Clippers,97,San Antonio Spurs,107,,18354,
11/29/19,9:00p,Dallas Mavericks,120,Phoenix Suns,113,,18055,
11/29/19,10:00p,Chicago Bulls,103,Portland Trail Blazers,107,,20139,
11/29/19,10:30p,Washington Wizards,103,Los Angeles Lakers,125,,18997,
11/30/19,5:00p,Denver Nuggets,97,Sacramento Kings,100,OT,17583,
11/30/19,7:00p,Indiana Pacers,116,Philadelphia 76ers,119,,20517,
11/30/19,8:00p,Atlanta Hawks,111,Houston Rockets,158,,18055,
11/30/19,8:00p,Charlotte Hornets,96,Milwaukee Bucks,137,,17550,
12/1/19,3:00p,Miami Heat,109,Brooklyn Nets,106,,17026,
12/1/19,3:30p,Memphis Grizzlies,115,Minnesota Timberwolves,107,,12276,
12/1/19,3:30p,Boston Celtics,113,New York Knicks,104,,18005,
12/1/19,4:00p,Dallas Mavericks,114,Los Angeles Lakers,100,,18997,
12/1/19,5:00p,San Antonio Spurs,98,Detroit Pistons,132,,14270,
12/1/19,5:00p,Oklahoma City Thunder,107,New Orleans Pelicans,104,,15427,
12/1/19,6:00p,Golden State Warriors,96,Orlando Magic,100,,15052,
12/1/19,6:00p,Utah Jazz,110,Toronto Raptors,130,,18132,
12/1/19,10:30p,Washington Wizards,125,Los Angeles Clippers,150,,19068,
12/2/19,7:00p,Phoenix Suns,109,Charlotte Hornets,104,,11221,
12/2/19,7:00p,Utah Jazz,94,Philadelphia 76ers,103,,20208,
12/2/19,7:30p,Golden State Warriors,79,Atlanta Hawks,104,,14278,
12/2/19,8:00p,Indiana Pacers,117,Memphis Grizzlies,104,,11919,
12/2/19,8:00p,New York Knicks,88,Milwaukee Bucks,132,,17385,
12/2/19,10:00p,Chicago Bulls,113,Sacramento Kings,106,,17257,
12/3/19,7:00p,Detroit Pistons,127,Cleveland Cavaliers,94,,17504,
12/3/19,7:00p,Orlando Magic,127,Washington Wizards,120,,13159,
12/3/19,7:30p,Dallas Mavericks,118,New Orleans Pelicans,97,,14664,
12/3/19,7:30p,Miami Heat,121,Toronto Raptors,110,OT,19800,
12/3/19,8:30p,Houston Rockets,133,San Antonio Spurs,135,2OT,18354,
12/3/19,9:00p,Los Angeles Lakers,105,Denver Nuggets,96,,19658,
12/3/19,10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117,,19068,
12/4/19,7:00p,Golden State Warriors,91,Charlotte Hornets,106,,14355,
12/4/19,7:00p,Milwaukee Bucks,127,Detroit Pistons,103,,15742,
12/4/19,7:00p,Phoenix Suns,114,Orlando Magic,128,,15176,
12/4/19,7:30p,Brooklyn Nets,130,Atlanta Hawks,118,,15694,
12/4/19,7:30p,Miami Heat,93,Boston Celtics,112,,19156,
12/4/19,8:00p,Memphis Grizzlies,99,Chicago Bulls,106,,15017,
12/4/19,8:00p,Indiana Pacers,107,Oklahoma City Thunder,100,,18203,
12/4/19,8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121,,19671,
12/4/19,9:00p,Los Angeles Lakers,121,Utah Jazz,96,,18306,
12/4/19,10:00p,Sacramento Kings,116,Portland Trail Blazers,127,,19393,
12/5/19,7:00p,Philadelphia 76ers,113,Washington Wizards,119,,16554,
12/5/19,7:30p,Denver Nuggets,129,New York Knicks,92,,18171,
12/5/19,7:30p,Houston Rockets,119,Toronto Raptors,109,,19800,
12/5/19,8:00p,Phoenix Suns,139,New Orleans Pelicans,132,OT,15607,
12/6/19,7:00p,Brooklyn Nets,111,Charlotte Hornets,104,,15075,
12/6/19,7:00p,Orlando Magic,93,Cleveland Cavaliers,87,,18446,
